Area Code,Area Name,Happiness Score,Latitude,Longitude,Nearest Station,tavg,af,rain,sun
E12000001,NORTH EAST,7.34,55.0,-1.9,durham,3.767631731325999,4.740590619571512,54.61909722222222,111.45459377372818
E12000002,NORTH WEST ,7.39,54.0,-2.6,newtonrigg,3.679230769230769,5.003846153846154,79.27579365079364,109.33029197080292
E12000003,YORKSHIRE AND THE HUMBER,7.41,53.6,-1.2,sheffield,3.3355815347721824,2.8747002398081536,67.05945626477542,111.52616330114137
E12000004,EAST MIDLANDS,7.51,53.0,-0.8,waddington,3.6477813852813856,3.6,50.76255411255411,128.02608225108224
E12000005,WEST MIDLANDS,7.43,52.5,-2.3,shawbury,4.075124378109453,4.9278606965174125,55.92820512820513,115.00502673796792
E12000006,EAST,7.51,52.2,0.4,cambridge,4.05948717948718,3.5576923076923075,46.39841269841269,125.0
E12000007,LONDON,7.38,51.5,-0.1,heathrow,3.926809210526316,2.9122222222222223,50.74232456140351,128.97699004975124
E12000008,SOUTH EAST,7.54,51.3,-0.5,heathrow,3.926809210526316,2.9122222222222223,50.74232456140351,128.97699004975124
E12000009,SOUTH WEST,7.5,51.0,-3.2,cardiff,3.816456834532374,2.9190647482014387,98.08758992805755,123.5560538116592
W92000004,WALES,7.44,51.5,-3.2,cardiff,3.816456834532374,2.9190647482014387,98.08758992805755,123.5560538116592
S92000003,SCOTLAND,7.45,56.0,-3.2,leuchars,3.661007462686567,4.904228855721393,57.455597014925374,123.74825870646768
N92000002,NORTHERN IRELAND5,7.75,54.6,-5.9,ballypatrick,2.916454802259887,2.5827123695976155,110.1854415274463,106.66363636363636
