Area Code,Area Name,Happiness Score,Life Satisfaction Score,Worthwhile Score,Anxiety Score,Latitude,Longitude
E12000001,NORTH EAST,7.34,7.55,7.73,3.01,55.0,-1.9
E12000002,NORTH WEST ,7.39,7.56,7.81,2.91,54.0,-2.6
E12000003,YORKSHIRE AND THE HUMBER,7.41,7.54,7.82,2.96,53.6,-1.2
E12000004,EAST MIDLANDS,7.51,7.63,7.8,2.75,53.0,-0.8
E12000005,WEST MIDLANDS,7.43,7.56,7.75,2.63,52.5,-2.3
E12000006,EAST,7.51,7.65,7.85,2.83,52.2,0.4
E12000007,LONDON,7.38,7.5,7.73,3.01,51.5,-0.1
E12000008,SOUTH EAST,7.54,7.72,7.91,2.82,51.3,-0.5
E12000009,SOUTH WEST,7.5,7.67,7.86,2.84,51.0,-3.2
W92000004,WALES,7.44,7.55,7.77,2.93,51.5,-3.2
S92000003,SCOTLAND,7.45,7.65,7.83,2.84,56.0,-3.2
N92000002,NORTHERN IRELAND5,7.75,7.9,8.1,2.78,54.6,-5.9
